"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"07/01/2021 19:00:00 - 07/01/2021 20:00:00","BZN|SE4","Without Sequence","65.20","",""
"07/01/2021 20:00:00 - 07/01/2021 21:00:00","BZN|SE4","Without Sequence","59.33","",""
"07/01/2021 21:00:00 - 07/01/2021 22:00:00","BZN|SE4","Without Sequence","58.26","",""
"07/01/2021 22:00:00 - 07/01/2021 23:00:00","BZN|SE4","Without Sequence","50.99","",""
"07/01/2021 23:00:00 - 08/01/2021 00:00:00","BZN|SE4","Without Sequence","49.31","",""
"08/01/2021 00:00:00 - 08/01/2021 01:00:00","BZN|SE4","Without Sequence","47.38","",""
"08/01/2021 01:00:00 - 08/01/2021 02:00:00","BZN|SE4","Without Sequence","45.78","",""
"08/01/2021 02:00:00 - 08/01/2021 03:00:00","BZN|SE4","Without Sequence","44.51","",""
"08/01/2021 03:00:00 - 08/01/2021 04:00:00","BZN|SE4","Without Sequence","45.69","",""
"08/01/2021 04:00:00 - 08/01/2021 05:00:00","BZN|SE4","Without Sequence","50.33","",""
"08/01/2021 05:00:00 - 08/01/2021 06:00:00","BZN|SE4","Without Sequence","59.71","",""
"08/01/2021 06:00:00 - 08/01/2021 07:00:00","BZN|SE4","Without Sequence","79.56","",""
"08/01/2021 07:00:00 - 08/01/2021 08:00:00","BZN|SE4","Without Sequence","103.54","",""
"08/01/2021 08:00:00 - 08/01/2021 09:00:00","BZN|SE4","Without Sequence","107.80","",""
"08/01/2021 09:00:00 - 08/01/2021 10:00:00","BZN|SE4","Without Sequence","107.32","",""
"08/01/2021 10:00:00 - 08/01/2021 11:00:00","BZN|SE4","Without Sequence","104.26","",""
"08/01/2021 11:00:00 - 08/01/2021 12:00:00","BZN|SE4","Without Sequence","99.91","",""
"08/01/2021 12:00:00 - 08/01/2021 13:00:00","BZN|SE4","Without Sequence","95.27","",""
"08/01/2021 13:00:00 - 08/01/2021 14:00:00","BZN|SE4","Without Sequence","92.72","",""
"08/01/2021 14:00:00 - 08/01/2021 15:00:00","BZN|SE4","Without Sequence","95.42","",""
"08/01/2021 15:00:00 - 08/01/2021 16:00:00","BZN|SE4","Without Sequence","95.00","",""
"08/01/2021 16:00:00 - 08/01/2021 17:00:00","BZN|SE4","Without Sequence","110.00","",""
"08/01/2021 17:00:00 - 08/01/2021 18:00:00","BZN|SE4","Without Sequence","99.95","",""
"08/01/2021 18:00:00 - 08/01/2021 19:00:00","BZN|SE4","Without Sequence","80.12","",""
"08/01/2021 19:00:00 - 08/01/2021 20:00:00","BZN|SE4","Without Sequence","61.48","",""
"08/01/2021 20:00:00 - 08/01/2021 21:00:00","BZN|SE4","Without Sequence","59.43","",""
"08/01/2021 21:00:00 - 08/01/2021 22:00:00","BZN|SE4","Without Sequence","56.22","",""
"08/01/2021 22:00:00 - 08/01/2021 23:00:00","BZN|SE4","Without Sequence","50.48","",""
"08/01/2021 23:00:00 - 09/01/2021 00:00:00","BZN|SE4","Without Sequence","47.58","",""
"09/01/2021 00:00:00 - 09/01/2021 01:00:00","BZN|SE4","Without Sequence","47.04","",""
"09/01/2021 01:00:00 - 09/01/2021 02:00:00","BZN|SE4","Without Sequence","46.48","",""
"09/01/2021 02:00:00 - 09/01/2021 03:00:00","BZN|SE4","Without Sequence","47.67","",""
"09/01/2021 03:00:00 - 09/01/2021 04:00:00","BZN|SE4","Without Sequence","48.04","",""
"09/01/2021 04:00:00 - 09/01/2021 05:00:00","BZN|SE4","Without Sequence","47.77","",""
"09/01/2021 05:00:00 - 09/01/2021 06:00:00","BZN|SE4","Without Sequence","48.26","",""
"09/01/2021 06:00:00 - 09/01/2021 07:00:00","BZN|SE4","Without Sequence","52.16","",""
"09/01/2021 07:00:00 - 09/01/2021 08:00:00","BZN|SE4","Without Sequence","58.36","",""
"09/01/2021 08:00:00 - 09/01/2021 09:00:00","BZN|SE4","Without Sequence","64.68","",""
"09/01/2021 09:00:00 - 09/01/2021 10:00:00","BZN|SE4","Without Sequence","65.61","",""
"09/01/2021 10:00:00 - 09/01/2021 11:00:00","BZN|SE4","Without Sequence","65.89","",""
"09/01/2021 11:00:00 - 09/01/2021 12:00:00","BZN|SE4","Without Sequence","65.22","",""
"09/01/2021 12:00:00 - 09/01/2021 13:00:00","BZN|SE4","Without Sequence","61.03","",""
"09/01/2021 13:00:00 - 09/01/2021 14:00:00","BZN|SE4","Without Sequence","59.75","",""
"09/01/2021 14:00:00 - 09/01/2021 15:00:00","BZN|SE4","Without Sequence","60.00","",""
"09/01/2021 15:00:00 - 09/01/2021 16:00:00","BZN|SE4","Without Sequence","62.78","",""
"09/01/2021 16:00:00 - 09/01/2021 17:00:00","BZN|SE4","Without Sequence","69.92","",""
"09/01/2021 17:00:00 - 09/01/2021 18:00:00","BZN|SE4","Without Sequence","70.26","",""
"09/01/2021 18:00:00 - 09/01/2021 19:00:00","BZN|SE4","Without Sequence","67.30","",""
"09/01/2021 19:00:00 - 09/01/2021 20:00:00","BZN|SE4","Without Sequence","61.16","",""
"09/01/2021 20:00:00 - 09/01/2021 21:00:00","BZN|SE4","Without Sequence","55.19","",""
"09/01/2021 21:00:00 - 09/01/2021 22:00:00","BZN|SE4","Without Sequence","43.47","",""
"09/01/2021 22:00:00 - 09/01/2021 23:00:00","BZN|SE4","Without Sequence","36.64","",""
"09/01/2021 23:00:00 - 10/01/2021 00:00:00","BZN|SE4","Without Sequence","38.84","",""
"10/01/2021 00:00:00 - 10/01/2021 01:00:00","BZN|SE4","Without Sequence","35.97","",""
"10/01/2021 01:00:00 - 10/01/2021 02:00:00","BZN|SE4","Without Sequence","34.35","",""
"10/01/2021 02:00:00 - 10/01/2021 03:00:00","BZN|SE4","Without Sequence","33.87","",""
"10/01/2021 03:00:00 - 10/01/2021 04:00:00","BZN|SE4","Without Sequence","33.84","",""
"10/01/2021 04:00:00 - 10/01/2021 05:00:00","BZN|SE4","Without Sequence","34.21","",""
"10/01/2021 05:00:00 - 10/01/2021 06:00:00","BZN|SE4","Without Sequence","34.03","",""
"10/01/2021 06:00:00 - 10/01/2021 07:00:00","BZN|SE4","Without Sequence","37.61","",""
"10/01/2021 07:00:00 - 10/01/2021 08:00:00","BZN|SE4","Without Sequence","39.09","",""
"10/01/2021 08:00:00 - 10/01/2021 09:00:00","BZN|SE4","Without Sequence","40.76","",""
"10/01/2021 09:00:00 - 10/01/2021 10:00:00","BZN|SE4","Without Sequence","44.16","",""
"10/01/2021 10:00:00 - 10/01/2021 11:00:00","BZN|SE4","Without Sequence","46.24","",""
"10/01/2021 11:00:00 - 10/01/2021 12:00:00","BZN|SE4","Without Sequence","44.76","",""
"10/01/2021 12:00:00 - 10/01/2021 13:00:00","BZN|SE4","Without Sequence","44.34","",""
"10/01/2021 13:00:00 - 10/01/2021 14:00:00","BZN|SE4","Without Sequence","45.45","",""
"10/01/2021 14:00:00 - 10/01/2021 15:00:00","BZN|SE4","Without Sequence","48.03","",""
"10/01/2021 15:00:00 - 10/01/2021 16:00:00","BZN|SE4","Without Sequence","55.17","",""
"10/01/2021 16:00:00 - 10/01/2021 17:00:00","BZN|SE4","Without Sequence","59.67","",""
"10/01/2021 17:00:00 - 10/01/2021 18:00:00","BZN|SE4","Without Sequence","56.58","",""
"10/01/2021 18:00:00 - 10/01/2021 19:00:00","BZN|SE4","Without Sequence","55.04","",""
"10/01/2021 19:00:00 - 10/01/2021 20:00:00","BZN|SE4","Without Sequence","48.05","",""
"10/01/2021 20:00:00 - 10/01/2021 21:00:00","BZN|SE4","Without Sequence","44.49","",""
"10/01/2021 21:00:00 - 10/01/2021 22:00:00","BZN|SE4","Without Sequence","40.07","",""
"10/01/2021 22:00:00 - 10/01/2021 23:00:00","BZN|SE4","Without Sequence","35.88","",""
"10/01/2021 23:00:00 - 11/01/2021 00:00:00","BZN|SE4","Without Sequence","40.60","",""
"11/01/2021 00:00:00 - 11/01/2021 01:00:00","BZN|SE4","Without Sequence","39.59","",""
"11/01/2021 01:00:00 - 11/01/2021 02:00:00","BZN|SE4","Without Sequence","37.78","",""
"11/01/2021 02:00:00 - 11/01/2021 03:00:00","BZN|SE4","Without Sequence","35.43","",""
"11/01/2021 03:00:00 - 11/01/2021 04:00:00","BZN|SE4","Without Sequence","37.29","",""
"11/01/2021 04:00:00 - 11/01/2021 05:00:00","BZN|SE4","Without Sequence","41.41","",""
"11/01/2021 05:00:00 - 11/01/2021 06:00:00","BZN|SE4","Without Sequence","42.78","",""
"11/01/2021 06:00:00 - 11/01/2021 07:00:00","BZN|SE4","Without Sequence","60.24","",""
"11/01/2021 07:00:00 - 11/01/2021 08:00:00","BZN|SE4","Without Sequence","60.42","",""
"11/01/2021 08:00:00 - 11/01/2021 09:00:00","BZN|SE4","Without Sequence","49.62","",""
"11/01/2021 09:00:00 - 11/01/2021 10:00:00","BZN|SE4","Without Sequence","47.57","",""
"11/01/2021 10:00:00 - 11/01/2021 11:00:00","BZN|SE4","Without Sequence","44.64","",""
"11/01/2021 11:00:00 - 11/01/2021 12:00:00","BZN|SE4","Without Sequence","43.33","",""
"11/01/2021 12:00:00 - 11/01/2021 13:00:00","BZN|SE4","Without Sequence","42.61","",""
"11/01/2021 13:00:00 - 11/01/2021 14:00:00","BZN|SE4","Without Sequence","42.05","",""
"11/01/2021 14:00:00 - 11/01/2021 15:00:00","BZN|SE4","Without Sequence","42.31","",""
"11/01/2021 15:00:00 - 11/01/2021 16:00:00","BZN|SE4","Without Sequence","43.28","",""
"11/01/2021 16:00:00 - 11/01/2021 17:00:00","BZN|SE4","Without Sequence","44.98","",""
"11/01/2021 17:00:00 - 11/01/2021 18:00:00","BZN|SE4","Without Sequence","42.93","",""
"11/01/2021 18:00:00 - 11/01/2021 19:00:00","BZN|SE4","Without Sequence","39.71","",""
"11/01/2021 19:00:00 - 11/01/2021 20:00:00","BZN|SE4","Without Sequence","37.11","",""
"11/01/2021 20:00:00 - 11/01/2021 21:00:00","BZN|SE4","Without Sequence","34.24","",""
"11/01/2021 21:00:00 - 11/01/2021 22:00:00","BZN|SE4","Without Sequence","33.21","",""
"11/01/2021 22:00:00 - 11/01/2021 23:00:00","BZN|SE4","Without Sequence","27.39","",""
"11/01/2021 23:00:00 - 12/01/2021 00:00:00","BZN|SE4","Without Sequence","19.43","",""
"12/01/2021 00:00:00 - 12/01/2021 01:00:00","BZN|SE4","Without Sequence","15.82","",""
"12/01/2021 01:00:00 - 12/01/2021 02:00:00","BZN|SE4","Without Sequence","19.00","",""
"12/01/2021 02:00:00 - 12/01/2021 03:00:00","BZN|SE4","Without Sequence","24.14","",""
"12/01/2021 03:00:00 - 12/01/2021 04:00:00","BZN|SE4","Without Sequence","27.00","",""
